,title,link,price,location,km_driven,description and feautures,dealer info
33,"Used 2008 Lexus RX 400h 4WD 4dr Hybrid for sale in Scarborough, ON",https://www.carpages.ca//used-cars/ontario/scarborough/2008-lexus-rx-400h-9313972/,"$10,995","Scarborough, ON","159,000KM","2008 Lexus RX 400h 
4WD 4dr Hybrid","A.S.D. Auto Sales
Sc"
34,"Used 2015 Infiniti Q50 Hybrid Premium NAVI | BACKUP CAM | SUNROOF | MEM SEATS for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2015-infiniti-q50-9313789/,"$29,995","Burlington, ON","98,155KM","2015 Infiniti Q50 
Hybrid Premium NAVI | BACKUP CAM | SUNROOF | MEM SEATS",Leggat Discovery For
35,"Used 2012 Nissan Leaf SL ELECTRIC ZERO EMISSION CERTIFIED CAMERA NAV BLUETOOTH HEATED SEATS CRUISE ALLOYS for sale in Milton, ON",https://www.carpages.ca//used-cars/ontario/milton/2012-nissan-leaf-9313759/,"$14,995","Milton, ON","82,918KM","2012 Nissan Leaf 
SL ELECTRIC ZERO EMISSION CERTIFIED CAMERA NAV BLUETOOTH HEATED SEATS CRUISE ALLOYS",Auto Moto of Ontario
36,"Used 2022 Hyundai Santa Fe HEV 1.6LT/Luxury/Hybrid for sale in Grimsby, ON",https://www.carpages.ca//used-cars/ontario/grimsby/2022-hyundai-santa-fe-9313636/,"$56,900","Grimsby, ON",745KM,"2022 Hyundai Santa Fe 
HEV 1.6LT/Luxury/Hybrid",Wills Chevrolet Buic
37,"Used 2022 Tesla Model 3 Long Range AWD *Ltd Avail* for sale in Scarborough, ON",https://www.carpages.ca//used-cars/ontario/scarborough/2022-tesla-model-3-9313552/,"$74,895","Scarborough, ON",100KM,"2022 Tesla Model 3 
Long Range AWD *Ltd Avail*","Octane Used Cars
Sca"
38,"Used 2022 Tesla Model X Longrange for sale in Brantford, ON",https://www.carpages.ca//used-cars/ontario/brantford/2022-tesla-model-x-9313168/,"$167,998","Brantford, ON","10,596KM","2022 Tesla Model X 
Longrange","Brant Automotive
Bra"
39,"New 2022 Ford Escape SE Hybrid for sale in Salmon Arm, BC",https://www.carpages.ca//new-cars/british-columbia/salmon-arm/2022-ford-escape-9313123/,"$42,694","Salmon Arm, BC",867KM,"2022 Ford Escape 
SE Hybrid","Jacobson Ford
Salmon"
40,New 2022 RAM 1500 Tradesman 4x4 Crew Cab 5'7,https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-ram-1500-9312811/,"$53,730","Saskatoon, SK",302KM,"2022 RAM 1500 
Tradesman 4x4 Crew Cab 5'7"" Box","Dodge City Auto
Sask"
41,"New 2023 Jeep Wrangler 4xe RUBICON for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9312556/,"$74,285","Bolton, ON",30KM,"2023 Jeep Wrangler 
4xe RUBICON",CarHub Caledon Chrys
42,"Used 2013 Toyota Camry HYBRID LE Hybrid Low KMS for sale in Ottawa, ON",https://www.carpages.ca//used-cars/ontario/ottawa/2013-toyota-camry-9312151/,"$16,980","Ottawa, ON","106,925KM","2013 Toyota Camry 
HYBRID LE Hybrid Low KMS","Wallace Automobiles
"
43,"Used 2008 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//used-cars/manitoba/brandon/2008-ford-f-150-9311980/,"$6,500","Brandon, MB","198,849KM","2008 Ford F-150 
XLT","Kelleher Ford
Brando"
44,"New 2022 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9311962/,"$60,920","Brandon, MB",16KM,"2022 Ford F-150 
XLT","Kelleher Ford
Brando"
45,"Used 2021 Hyundai KONA Electric PREFERRED for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2021-hyundai-kona-9311653/,"$47,990","Mississauga, ON","36,255KM","2021 Hyundai KONA 
Electric PREFERRED","B Town Auto Sales
Mi"
46,"Used 2017 Ford Focus Electric CUIR * NAVIGATION * for sale in Saint-Jean-sur-Richelieu, QC",https://www.carpages.ca//used-cars/quebec/saint-jean-sur-richelieu/2017-ford-focus-9311533/,"$22,493","Saint-Jean-sur-Richelieu, QC","76,769KM","2017 Ford Focus 
Electric CUIR * NAVIGATION *","Saint-Jean Hyundai
S"
47,"Used 2021 Tesla Model 3  for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2021-tesla-model-3-9311386/,"$58,982","Surrey, BC","34,222KM",2021 Tesla Model 3,"Go Dodge Surrey
Surr"
48,"New 2023 Toyota RAV4 Hybrid XSE Technology Pkg | Factory Order - Custom for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-toyota-rav4-9311107/,"$48,263","Winnipeg, MB",CALL,"2023 Toyota RAV4 
Hybrid XSE Technology Pkg | Factory Order - Custom","Birchwood Toyota
Win"
49,"New 2023 Toyota RAV4 Hybrid XSE Factory Order - Custom for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-toyota-rav4-9311104/,"$45,703","Winnipeg, MB",CALL,"2023 Toyota RAV4 
Hybrid XSE Factory Order - Custom","Birchwood Toyota
Win"
50,"New 2022 Lincoln Corsair Grand Touring for sale in Chatham, ON",https://www.carpages.ca//new-cars/ontario/chatham/2022-lincoln-corsair-9331687/,"$70,925","Chatham, ON",CALL,"2022 Lincoln Corsair 
Grand Touring","Victory Ford
Chatham"
51,"New 2023 Audi Q7 Technik for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-audi-q7-9331666/,"$96,209","Winnipeg, MB",90KM,"2023 Audi Q7 
Technik","Audi Winnipeg
Winnip"
52,"Used 2022 Ford Escape SE Hybrid AWD - 43MPG! Heated Seats, Htd Wheel, Rmt Strt!! for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2022-ford-escape-9331648/,"$44,800","Winnipeg, MB","2,000KM","2022 Ford Escape 
SE Hybrid AWD - 43MPG! Heated Seats, Htd Wheel, Rmt Strt!!",Auto Show Sales & Fi
53,"Used 2022 Honda Accord Hybrid Sedan - Sunroof, Power+Heated Seats, HondaSensing Tech, Apple CarPlay, Remote Start & More! for sale in Guelph, ON",https://www.carpages.ca//used-cars/ontario/guelph/2022-honda-accord-9331471/,"$44,998","Guelph, ON","35,000KM","2022 Honda Accord 
Hybrid Sedan - Sunroof, Power+Heated Seats, HondaSensing Tech, Apple CarPlay, Remote Start & More!",Mark Wilson's Better
