,Product Name,Link,Price,Rating,Description
22,"APPLE iPhone 11 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm4e5041ba101fd?pid=MOBFWQ6BXGJCEYNY&lid=LSTMOBFWQ6BXGJCEYNYZXSHRJ&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBFWQ6BXGJCEYNY.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹39,999",4.6,64 GB ROM
23,"vivo T1X (Gravity Black, 128 GB)",https://www.flipkart.com/vivo-t1x-gravity-black-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZYZSNW7JX&lid=LSTMOBGG56ZYZSNW7JXBKVX1F&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGG56ZYZSNW7JX.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹12,999",4.5,4 GB RAM | 128 GB ROM
24,"vivo T1X (Space Blue, 128 GB)",https://www.flipkart.com/vivo-t1x-space-blue-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZYSVXEAHC&lid=LSTMOBGG56ZYSVXEAHCCUPIEO&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGG56ZYSVXEAHC.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹12,999",4.5,4 GB RAM | 128 GB ROM
25,"realme 9 (Stargaze White, 128 GB)",https://www.flipkart.com/realme-9-stargaze-white-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHUGUDPEY4&lid=LSTMOBGDYSHUGUDPEY4WU2LUC&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGDYSHUGUDPEY4.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹16,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
26,"realme 9 (Sunburst Gold, 128 GB)",https://www.flipkart.com/realme-9-sunburst-gold-128-gb/p/itm73722a6d35d36?pid=MOBGDYSH8EWQZ4XU&lid=LSTMOBGDYSH8EWQZ4XUTALWYH&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGDYSH8EWQZ4XU.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
27,"MOTOROLA e40 (Pink Clay, 64 GB)",https://www.flipkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFGEC0C0J&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹8,599",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
28,Nokia 105 SS,https://www.flipkart.com/nokia-105-ss/p/itmb937aecea14e6?pid=MOBGC96FVTHVNXNH&lid=LSTMOBGC96FVTHVNXNHGPCV73&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGC96FVTHVNXNH.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹1,299",4.2,32 MB RAM | 32 MB ROM
29,"APPLE iPhone 11 (White, 64 GB)",https://www.flipkart.com/apple-iphone-11-white-64-gb/p/itmfc6a7091eb20b?pid=MOBFWQ6BVWVEH3XE&lid=LSTMOBFWQ6BVWVEH3XEMXQMLO&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBFWQ6BVWVEH3XE.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹39,999",4.6,64 GB ROM
30,Nokia 105 SS,https://www.flipkart.com/nokia-105-ss/p/itmb937aecea14e6?pid=MOBGC96FRD7DB2R7&lid=LSTMOBGC96FRD7DB2R7JBURME&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGC96FRD7DB2R7.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹1,299",4.2,32 MB RAM | 32 MB ROM
31,"REDMI 10 (Pacific Blue, 64 GB)",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹10,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
32,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT&lid=LSTMOBGENJWBPFYJSFT1ZY7B0&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGENJWBPFYJSFT.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹11,999",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
33,"POCO M4 Pro 5G (Cool Blue, 64 GB)",https://www.flipkart.com/poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹14,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
34,"vivo T1 5G (Rainbow Fantasy, 128 GB)",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYFQR3FQZT&lid=LSTMOBGB9TYFQR3FQZTTIVBCR&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGB9TYFQR3FQZT.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹16,990",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
35,"vivo T1 5G (Starlight Black, 128 GB)",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYEDGEXQRA&lid=LSTMOBGB9TYEDGEXQRAKBELKI&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGB9TYEDGEXQRA.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹19,990",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
36,"vivo T1 5G (Rainbow Fantasy, 128 GB)",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYUBFMRG2Y&lid=LSTMOBGB9TYUBFMRG2Y4RZEVJ&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGB9TYUBFMRG2Y.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹19,990",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
37,"vivo T1X (Space Blue, 128 GB)",https://www.flipkart.com/vivo-t1x-space-blue-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZR25JKP8Y&lid=LSTMOBGG56ZR25JKP8YGTSEZ2&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGG56ZR25JKP8Y.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹14,999",4.4,6 GB RAM | 128 GB ROM
38,"REDMI 10 (Midnight Black, 128 GB)",https://www.flipkart.com/redmi-10-midnight-black-128-gb/p/itm68b3d276eda8c?pid=MOBGC9GYX2QQXKWK&lid=LSTMOBGC9GYX2QQXKWKZPFGVJ&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGC9GYX2QQXKWK.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹12,999",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
39,"POCO C31 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹8,499",4.3,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB
40,"REDMI 9 Activ (Metallic Purple, 64 GB)",https://www.flipkart.com/redmi-9-activ-metallic-purple-64-gb/p/itm329ae4068c8e8?pid=MOBG7F5HVHHNVXGK&lid=LSTMOBG7F5HVHHNVXGKHRNWQM&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBG7F5HVHHNVXGK.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹8,650",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
41,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",https://www.flipkart.com/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itme54bc0c2292f4?pid=MOBGBKQF45XPEUHA&lid=LSTMOBGBKQF45XPEUHAYAHBJE&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGBKQF45XPEUHA.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹18,499",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
42,"MOTOROLA g31 (Baby Blue, 128 GB)",https://www.flipkart.com/motorola-g31-baby-blue-128-gb/p/itm4abfdd078ea12?pid=MOBG3E8WDCFZEGFN&lid=LSTMOBG3E8WDCFZEGFNOXYVFY&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBG3E8WDCFZEGFN.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹11,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
43,"REDMI 10 (Pacific Blue, 128 GB)",https://www.flipkart.com/redmi-10-pacific-blue-128-gb/p/itmeee56f3526c69?pid=MOBGC9GYMXA2XAH4&lid=LSTMOBGC9GYMXA2XAH4HWYYYO&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=5728092f-f0dc-46f7-9ac2-1a9e655e414f.MOBGC9GYMXA2XAH4.SEARCH&ppt=None&ppn=None&ssid=q7bm48xuio0000001669314537386&qH=7d0872c8342d99e3,"₹12,999",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
